,Current,Frequency,Signal
0,,2650000000.0,6.35939e-13
1,,2651758793.96985,6.96335e-13
2,,2653517587.9397,6.85677e-13
3,,2655276381.90955,7.38968e-13
4,,2657035175.8794,6.25281e-13
5,,2658793969.84925,7.10546e-13
6,,2660552763.8191,6.00412e-13
7,,2662311557.78894,6.64361e-13
8,,2664070351.75879,7.74495e-13
9,,2665829145.72864,8.31338e-13
10,,2667587939.69849,5.61332e-13
11,,2669346733.66834,7.63837e-13
12,,2671105527.63819,8.02917e-13
13,,2672864321.60804,7.06993e-13
14,,2674623115.57789,7.85153e-13
15,,2676381909.54774,7.74495e-13
16,,2678140703.51759,6.99888e-13
17,,2679899497.48744,8.06469e-13
18,,2681658291.45729,7.92259e-13
19,,2683417085.42714,6.99888e-13
20,,2685175879.39699,6.8923e-13
21,,2686934673.36683,6.82124e-13
22,,2688693467.33668,6.03965e-13
23,,2690452261.30653,6.32387e-13
24,,2692211055.27638,5.36463e-13
25,,2693969849.24623,5.75543e-13
26,,2695728643.21608,5.86201e-13
27,,2697487437.18593,6.25281e-13
28,,2699246231.15578,8.41997e-13
29,,2701005025.12563,7.10546e-13
30,,2702763819.09548,7.78048e-13
31,,2704522613.06533,5.82649e-13
32,,2706281407.03518,5.82649e-13
33,,2708040201.00502,5.50674e-13
34,,2709798994.97487,5.5778e-13
35,,2711557788.94472,6.5015e-13
36,,2713316582.91457,6.78572e-13
37,,2715075376.88442,6.96335e-13
38,,2716834170.85427,7.53179e-13
39,,2718592964.82412,7.49626e-13
40,,2720351758.79397,6.39492e-13
41,,2722110552.76382,7.24757e-13
42,,2723869346.73367,8.24233e-13
43,,2725628140.70352,6.71466e-13
44,,2727386934.67337,4.83173e-13
45,,2729145728.64322,6.85677e-13
46,,2730904522.61307,7.14099e-13
47,,2732663316.58291,7.88706e-13
48,,2734422110.55276,6.71466e-13
49,,2736180904.52261,7.31862e-13
50,,2737939698.49246,6.99888e-13
51,,2739698492.46231,6.92783e-13
52,,2741457286.43216,7.2831e-13
53,,2743216080.40201,7.49626e-13
54,,2744974874.37186,6.78572e-13
55,,2746733668.34171,7.10546e-13
56,,2748492462.31156,7.2831e-13
57,,2750251256.28141,5.36463e-13
58,,2752010050.25126,4.97383e-13
59,,2753768844.22111,5.36463e-13
60,,2755527638.19095,6.92783e-13
61,,2757286432.1608,7.63837e-13
62,,2759045226.13065,6.5015e-13
63,,2760804020.1005,5.96859e-13
64,,2762562814.07035,4.97383e-13
65,,2764321608.0402,5.00936e-13
66,,2766080402.01005,5.68438e-13
67,,2767839195.9799,7.06993e-13
68,,2769597989.94975,6.46597e-13
69,,2771356783.9196,6.8923e-13
70,,2773115577.88945,6.35939e-13
71,,2774874371.8593,8.10022e-13
