,Frequency,Signal
0,2760000000.0,2.19559e-12
1,2760052401.74673,2.19559e-12
2,2760104803.49345,2.19559e-12
3,2760157205.24017,2.19559e-12
4,2760209606.9869,2.19559e-12
5,2760262008.73362,2.19559e-12
6,2760314410.48035,2.19559e-12
7,2760366812.22707,2.19559e-12
8,2760419213.9738,2.19559e-12
9,2760471615.72052,2.19559e-12
10,2760524017.46725,2.19559e-12
11,2760576419.21397,2.19559e-12
12,2760628820.9607,2.19559e-12
13,2760681222.70742,2.19559e-12
14,2760733624.45415,2.19559e-12
15,2760786026.20087,2.19559e-12
16,2760838427.9476,2.19559e-12
17,2760890829.69432,2.19559e-12
18,2760943231.44105,2.19559e-12
19,2760995633.18777,2.19559e-12
20,2761048034.9345,2.19559e-12
21,2761100436.68122,2.19559e-12
22,2761152838.42795,2.19559e-12
23,2761205240.17467,2.19559e-12
24,2761257641.9214,2.19559e-12
25,2761310043.66812,2.19559e-12
26,2761362445.41485,2.19559e-12
27,2761414847.16157,2.19559e-12
28,2761467248.9083,2.19559e-12
29,2761519650.65502,2.19559e-12
30,2761572052.40175,2.19559e-12
31,2761624454.14847,2.19559e-12
32,2761676855.8952,2.19559e-12
33,2761729257.64192,2.19559e-12
34,2761781659.38865,2.19559e-12
35,2761834061.13537,2.19559e-12
36,2761886462.8821,2.19559e-12
37,2761938864.62882,2.19559e-12
38,2761991266.37555,2.19559e-12
39,2762043668.12227,2.19559e-12
40,2762096069.869,2.19559e-12
41,2762148471.61572,3.39641e-12
42,2762200873.36245,3.48167e-12
43,2762253275.10917,3.48167e-12
44,2762305676.8559,3.48167e-12
45,2762358078.60262,3.48167e-12
46,2762410480.34935,3.48167e-12
47,2762462882.09607,3.48167e-12
48,2762515283.84279,3.87959e-12
49,2762567685.58952,4.40539e-12
50,2762620087.33624,4.40539e-12
51,2762672489.08297,4.40539e-12
52,2762724890.82969,4.40539e-12
53,2762777292.57642,4.40539e-12
54,2762829694.32314,4.40539e-12
55,2762882096.06987,4.40539e-12
56,2762934497.81659,4.98804e-12
57,2762986899.56332,5.62042e-12
58,2763039301.31004,5.62042e-12
59,2763091703.05677,5.62042e-12
60,2763144104.80349,5.62042e-12
61,2763196506.55022,5.62042e-12
62,2763248908.29694,5.62042e-12
63,2763301310.04367,5.62042e-12
64,2763353711.79039,5.62042e-12
65,2763406113.53712,6.974e-12
66,2763458515.28384,6.974e-12
67,2763510917.03057,6.974e-12
68,2763563318.77729,6.97045e-12
69,2763615720.52402,6.974e-12
70,2763668122.27074,6.974e-12
71,2763720524.01747,6.974e-12
72,2763772925.76419,6.974e-12
73,2763825327.51092,6.974e-12
74,2763877729.25764,6.974e-12
75,2763930131.00437,7.26888e-12
76,2763982532.75109,8.39512e-12
77,2764034934.49782,8.40222e-12
78,2764087336.24454,8.40222e-12
79,2764139737.99127,8.40222e-12
80,2764192139.73799,8.3667e-12
81,2764244541.48472,6.98111e-12
82,2764296943.23144,7.25112e-12
83,2764349344.97817,6.98111e-12
84,2764401746.72489,6.98111e-12
85,2764454148.47162,6.98111e-12
86,2764506550.21834,6.98111e-12
87,2764558951.96507,6.98111e-12
88,2764611353.71179,6.974e-12
89,2764663755.45852,6.974e-12
90,2764716157.20524,6.974e-12
91,2764768558.95196,6.98111e-12
92,2764820960.69869,7.23691e-12
93,2764873362.44542,7.7876e-12
94,2764925764.19214,7.80181e-12
95,2764978165.93886,7.80181e-12
96,2765030567.68559,7.79826e-12
97,2765082969.43231,7.79826e-12
98,2765135371.17904,7.79826e-12
99,2765187772.92576,7.79826e-12
100,2765240174.67249,7.79826e-12
