,Frequency,Signal
0,2763000000.0,1.29461e-11
1,2763035175.8794,1.29959e-11
2,2763070351.75879,1.29994e-11
3,2763105527.63819,1.30954e-11
4,2763140703.51759,1.32588e-11
5,2763175879.39699,1.34293e-11
6,2763211055.27638,1.36105e-11
7,2763246231.15578,1.38023e-11
8,2763281407.03518,1.39089e-11
9,2763316582.91457,1.40759e-11
10,2763351758.79397,1.42251e-11
11,2763386934.67337,1.43957e-11
12,2763422110.55276,1.45627e-11
13,2763457286.43216,1.47332e-11
14,2763492462.31156,1.49037e-11
15,2763527638.19095,1.49748e-11
16,2763562814.07035,1.49961e-11
17,2763597989.94975,1.50601e-11
18,2763633165.82915,1.50387e-11
19,2763668341.70854,1.51062e-11
20,2763703517.58794,1.51809e-11
21,2763738693.46734,1.51986e-11
22,2763773869.34673,1.52128e-11
23,2763809045.22613,1.53016e-11
24,2763844221.10553,1.53016e-11
25,2763879396.98492,1.53016e-11
26,2763914572.86432,1.53301e-11
27,2763949748.74372,1.51524e-11
28,2763984924.62312,1.50565e-11
29,2764020100.50251,1.51844e-11
30,2764055276.38191,1.52768e-11
31,2764090452.26131,1.52874e-11
32,2764125628.1407,1.53052e-11
33,2764160804.0201,1.52626e-11
34,2764195979.8995,1.5259e-11
35,2764231155.77889,1.52661e-11
36,2764266331.65829,1.52555e-11
37,2764301507.53769,1.52128e-11
38,2764336683.41709,1.51986e-11
39,2764371859.29648,1.52093e-11
40,2764407035.17588,1.52306e-11
41,2764442211.05528,1.51809e-11
42,2764477386.93467,1.51951e-11
43,2764512562.81407,1.52661e-11
44,2764547738.69347,1.53123e-11
45,2764582914.57286,1.53478e-11
46,2764618090.45226,1.53763e-11
47,2764653266.33166,1.53976e-11
48,2764688442.21106,1.54899e-11
49,2764723618.09045,1.5497e-11
50,2764758793.96985,1.54402e-11
51,2764793969.84925,1.53905e-11
52,2764829145.72864,1.54402e-11
53,2764864321.60804,1.55255e-11
54,2764899497.48744,1.55645e-11
55,2764934673.36683,1.55823e-11
56,2764969849.24623,1.56249e-11
57,2765005025.12563,1.57102e-11
58,2765040201.00502,1.57848e-11
59,2765075376.88442,1.58665e-11
60,2765110552.76382,1.59163e-11
61,2765145728.64322,1.59553e-11
62,2765180904.52261,1.59944e-11
63,2765216080.40201,1.59838e-11
64,2765251256.28141,1.603e-11
65,2765286432.1608,1.61046e-11
66,2765321608.0402,1.61259e-11
67,2765356783.9196,1.61472e-11
68,2765391959.799,1.61934e-11
69,2765427135.67839,1.62502e-11
70,2765462311.55779,1.6268e-11
71,2765497487.43719,1.62929e-11
72,2765532663.31658,1.63213e-11
73,2765567839.19598,1.63604e-11
74,2765603015.07538,1.63888e-11
75,2765638190.95477,1.63888e-11
76,2765673366.83417,1.63639e-11
77,2765708542.71357,1.63852e-11
78,2765743718.59296,1.63781e-11
79,2765778894.47236,1.63923e-11
80,2765814070.35176,1.64065e-11
81,2765849246.23116,1.64136e-11
82,2765884422.11055,1.63781e-11
83,2765919597.98995,1.63319e-11
84,2765954773.86935,1.63426e-11
85,2765989949.74874,1.6339e-11
86,2766025125.62814,1.62858e-11
87,2766060301.50754,1.62644e-11
88,2766095477.38693,1.62289e-11
89,2766130653.26633,1.6204e-11
90,2766165829.14573,1.61543e-11
91,2766201005.02513,1.60975e-11
92,2766236180.90452,1.61046e-11
93,2766271356.78392,1.60157e-11
94,2766306532.66332,1.59625e-11
95,2766341708.54271,1.59625e-11
96,2766376884.42211,1.59198e-11
97,2766412060.30151,1.59198e-11
98,2766447236.1809,1.58807e-11
99,2766482412.0603,1.58203e-11
100,2766517587.9397,1.58061e-11
101,2766552763.8191,1.58417e-11
102,2766587939.69849,1.57742e-11
103,2766623115.57789,1.57635e-11
104,2766658291.45729,1.5728e-11
105,2766693467.33668,1.57173e-11
106,2766728643.21608,1.56782e-11
107,2766763819.09548,1.56782e-11
108,2766798994.97487,1.56676e-11
109,2766834170.85427,1.56463e-11
110,2766869346.73367,1.56498e-11
111,2766904522.61307,1.56392e-11
112,2766939698.49246,1.56463e-11
113,2766974874.37186,1.56711e-11
114,2767010050.25126,1.56889e-11
115,2767045226.13065,1.56818e-11
116,2767080402.01005,1.56711e-11
117,2767115577.88945,1.56605e-11
118,2767150753.76884,1.56534e-11
119,2767185929.64824,1.56249e-11
120,2767221105.52764,1.56463e-11
121,2767256281.40704,1.57102e-11
122,2767291457.28643,1.57742e-11
123,2767326633.16583,1.5831e-11
124,2767361809.04523,1.58026e-11
125,2767396984.92462,1.5799e-11
126,2767432160.80402,1.58452e-11
127,2767467336.68342,1.58701e-11
128,2767502512.56281,1.59198e-11
129,2767537688.44221,1.59234e-11
130,2767572864.32161,1.58985e-11
131,2767608040.201,1.59092e-11
132,2767643216.0804,1.59411e-11
133,2767678391.9598,1.5966e-11
134,2767713567.8392,1.59411e-11
135,2767748743.71859,1.59021e-11
136,2767783919.59799,1.58594e-11
137,2767819095.47739,1.58452e-11
138,2767854271.35678,1.58665e-11
139,2767889447.23618,1.58168e-11
140,2767924623.11558,1.57067e-11
141,2767959798.99498,1.56498e-11
142,2767994974.87437,1.55788e-11
143,2768030150.75377,1.55717e-11
144,2768065326.63317,1.55006e-11
145,2768100502.51256,1.53763e-11
146,2768135678.39196,1.52555e-11
147,2768170854.27136,1.51453e-11
148,2768206030.15075,1.50459e-11
149,2768241206.03015,1.49393e-11
150,2768276381.90955,1.48327e-11
151,2768311557.78894,1.47226e-11
152,2768346733.66834,1.45982e-11
153,2768381909.54774,1.44809e-11
154,2768417085.42714,1.43743e-11
155,2768452261.30653,1.42287e-11
156,2768487437.18593,1.40155e-11
157,2768522613.06533,1.38876e-11
158,2768557788.94472,1.37704e-11
159,2768592964.82412,1.36212e-11
160,2768628140.70352,1.34968e-11
161,2768663316.58291,1.33725e-11
162,2768698492.46231,1.32517e-11
163,2768733668.34171,1.31238e-11
164,2768768844.22111,1.30136e-11
165,2768804020.1005,1.28467e-11
166,2768839195.9799,1.27188e-11
167,2768874371.8593,1.2566e-11
168,2768909547.73869,1.24523e-11
169,2768944723.61809,1.22924e-11
170,2768979899.49749,1.21468e-11
171,2769015075.37688,1.20189e-11
172,2769050251.25628,1.17737e-11
173,2769085427.13568,1.15215e-11
174,2769120603.01508,1.14043e-11
175,2769155778.89447,1.13794e-11
176,2769190954.77387,1.12799e-11
177,2769226130.65327,1.11378e-11
178,2769261306.53266,1.09957e-11
179,2769296482.41206,1.08536e-11
180,2769331658.29146,1.07328e-11
181,2769366834.17085,1.06298e-11
182,2769402010.05025,1.05339e-11
183,2769437185.92965,1.03953e-11
184,2769472361.80905,1.02852e-11
185,2769507537.68844,1.01502e-11
186,2769542713.56784,1.00507e-11
187,2769577889.44724,9.90857e-12
188,2769613065.32663,9.8091e-12
189,2769648241.20603,9.72028e-12
190,2769683417.08543,9.58883e-12
191,2769718592.96482,9.44672e-12
192,2769753768.84422,9.3508e-12
193,2769788944.72362,9.31527e-12
194,2769824120.60301,9.23356e-12
195,2769859296.48241,9.11277e-12
196,2769894472.36181,9.04882e-12
197,2769929648.24121,9.00263e-12
198,2769964824.1206,8.89605e-12
199,2770000000.0,8.72197e-12
