,Frequency,Signal
0,2763000000.0,3.54705e-11
1,2763020100.50251,3.54172e-11
2,2763040201.00502,3.55131e-11
3,2763060301.50754,3.54918e-11
4,2763080402.01005,3.55735e-11
5,2763100502.51256,3.56268e-11
6,2763120603.01508,3.56517e-11
7,2763140703.51759,3.55949e-11
8,2763160804.0201,3.55203e-11
9,2763180904.52261,3.55949e-11
10,2763201005.02513,3.58151e-11
11,2763221105.52764,3.59075e-11
12,2763241206.03015,3.59075e-11
13,2763261306.53266,3.59039e-11
14,2763281407.03518,3.58436e-11
15,2763301507.53769,3.58826e-11
16,2763321608.0402,3.58933e-11
17,2763341708.54271,3.58755e-11
18,2763361809.04523,3.59537e-11
19,2763381909.54774,3.59999e-11
20,2763402010.05025,3.62024e-11
21,2763422110.55276,3.63694e-11
22,2763442211.05528,3.63978e-11
23,2763462311.55779,3.64333e-11
24,2763482412.0603,3.64937e-11
25,2763502512.56281,3.6515e-11
26,2763522613.06533,3.65683e-11
27,2763542713.56784,3.66536e-11
28,2763562814.07035,3.67175e-11
29,2763582914.57286,3.68312e-11
30,2763603015.07538,3.6888e-11
31,2763623115.57789,3.69307e-11
32,2763643216.0804,3.70515e-11
33,2763663316.58291,3.70337e-11
34,2763683417.08543,3.7055e-11
35,2763703517.58794,3.71119e-11
36,2763723618.09045,3.72149e-11
37,2763743718.59296,3.72327e-11
38,2763763819.09548,3.72469e-11
39,2763783919.59799,3.73286e-11
40,2763804020.1005,3.7357e-11
41,2763824120.60301,3.72504e-11
42,2763844221.10553,3.72717e-11
43,2763864321.60804,3.7286e-11
44,2763884422.11055,3.73925e-11
45,2763904522.61307,3.74991e-11
46,2763924623.11558,3.75453e-11
47,2763944723.61809,3.75773e-11
48,2763964824.1206,3.75737e-11
49,2763984924.62312,3.7627e-11
50,2764005025.12563,3.75489e-11
51,2764025125.62814,3.75489e-11
52,2764045226.13065,3.75702e-11
53,2764065326.63317,3.75666e-11
54,2764085427.13568,3.7595e-11
55,2764105527.63819,3.7595e-11
56,2764125628.1407,3.76092e-11
57,2764145728.64322,3.77265e-11
58,2764165829.14573,3.77123e-11
